Source           Destination              Packets               Bytes
 170.135.202.83   172.16.3.10                     83                4428
 170.135.2.11     170.132.24.22               193940             9094592
 170.132.24.22    170.135.2.11                350298           451214107
 170.132.25.26    170.135.199.195             672439           704900595
 170.135.199.195  170.132.25.26               618911            92786660
 170.132.25.27    170.135.199.195             328551           340981461
 170.135.199.195  170.132.25.27               273861            34091894
 170.135.199.195  170.132.25.25             59074285          2954038470
 170.132.25.25    170.135.199.195           84677624          3698244540
 170.132.50.161   170.135.202.83                  86               15344
 168.162.209.81   156.36.204.247                7755              731268
 170.132.24.21    170.135.199.195               1532             1109417
 170.135.199.195  170.132.24.21                 1623              169909
 168.162.95.154   156.36.212.169                9570             8492610
 156.36.212.169   168.162.95.154                6816              968451
 168.162.176.152  170.135.199.195            1439867           221982449
 170.135.199.195  168.162.176.152            1117023            91682964
 156.36.239.64    170.132.26.47                   10                1752
 170.132.26.47    156.36.239.64                   10                 426
 170.135.199.195  170.132.221.212                138                7176
 170.135.199.195  170.132.221.213                 69                3496
 170.132.50.161   170.135.202.73               15049             1284943
 170.135.202.70   172.16.3.10                    636               33816
 170.132.50.161   170.135.202.79                 240              156307
 168.162.189.38   156.36.198.250             1269346            54619728
 156.36.198.250   168.162.189.38             2276141          2726877584
 170.132.50.161   170.135.202.76                3702             4454780
 170.132.154.180  156.36.239.64               200351            41734741
 156.36.239.64    170.132.154.180             273311            83666876
 170.135.202.73   172.16.3.10                  13117              703060
 10.16.30.49      170.135.199.195                  6                 336
 170.132.50.161   170.135.202.70                 766              357541
 10.16.30.48      170.135.199.195                  6                 336
 156.36.206.51    156.55.84.167             17590380           976761074
 156.55.84.167    156.36.206.51             20635989          3204342622
 170.135.202.79   172.16.3.10                    185                9804
 170.135.202.76   172.16.3.10                   2277              118812
 170.135.199.195  147.249.46.72            212678985          3953623951
 147.249.46.72    170.135.199.195          257960783           570292013
 10.69.12.76      170.135.199.195                  3                 528
 147.249.46.70    170.135.199.195                 34               14010
 170.135.199.195  147.249.46.70                   34               10203
 170.135.202.29   156.55.51.78                 13320              532800
 156.55.51.78     170.135.202.29               13339              800340
 156.36.230.153   170.132.25.222              359289            43580609
 170.132.25.222   156.36.230.153              338424            46744642
 10.69.12.94      170.135.199.195                  3                 528
 170.132.14.4     156.36.200.98                26406             1474076
 156.36.200.98    170.132.14.4                 50147            63163155
 170.132.26.43    170.135.199.195           16022422          1355263914
 170.135.199.195  170.132.26.43              9155084           967998026
 156.36.169.75    170.132.91.23                16495             9805926
 170.132.91.23    156.36.169.75                11552             4464424
 170.132.26.36    170.135.199.195                 26               12488
 170.135.199.195  170.132.26.36                   25                3570
 208.252.13.123   156.36.205.20                 1345               84390
 156.36.205.20    208.252.13.123                2619             3198804
 170.132.24.35    170.135.199.195                 32                5658
 170.135.199.195  170.132.24.35                   34                5039
 10.69.12.86      170.135.199.195                  6                1032
 168.162.95.154   156.36.208.231             4548076           785144423
 156.36.208.231   168.162.95.154             3552099           218414667
 170.132.24.95    170.135.199.195            1831241          2041686439
 170.135.199.195  170.132.24.95              1659030           210082988
 170.132.24.94    170.135.199.195            4026386          4022660575
 170.135.199.195  170.132.24.94              3719989           607728799
 168.162.95.146   156.36.206.240            11483755          3990529346
 156.36.206.240   168.162.95.146             8147360           583709659
 170.132.24.21    156.36.205.20                 3132             2889519
 156.36.205.20    170.132.24.21                 2496              282936
 170.132.24.21    156.36.205.21                  266               84906
 156.36.205.21    170.132.24.21                  294               82708
 168.162.95.146   156.36.208.233             5380041          2147834532
 156.36.208.233   168.162.95.146             2750657           151070444
 156.36.239.4     170.132.26.47                    5                 876
 170.132.26.47    156.36.239.4                     5                 213
 168.162.95.146   156.36.208.231             5120213          1833517910
 156.36.208.231   168.162.95.146             2608108           143792836
 170.135.199.195  170.132.26.84                  750               39000
 168.162.95.154   156.36.206.240            27858087          2852418299
 156.36.206.240   168.162.95.154            17579074          1842823751
 156.36.204.247   10.255.45.17                 12333             9133203
 170.135.199.195  170.132.223.147                  8                 416
 156.36.198.250   170.132.235.10                4355              745488
 170.132.235.10   156.36.198.250                5181              457907
 168.162.95.154   156.36.208.233             3878500          4284451211
 156.36.208.233   168.162.95.154             3190421           197858945
 156.36.198.250   170.132.235.15              407737            52903761
 170.132.235.15   156.36.198.250              493910            23801970
 170.132.91.12    170.135.199.195                 36               29929
 170.135.199.195  170.132.91.12                   40                2753
 168.162.95.154   156.36.228.195              199706           256027027
 156.36.228.195   168.162.95.154              102882             4844542
 168.162.95.154   156.36.228.193              260538           333687542
 156.36.228.193   168.162.95.154              133746             6447488
 156.36.48.192    170.132.26.47                   17                 692
 170.132.26.47    156.36.48.192                   17                 712
 168.162.95.154   156.36.206.236             1074834          1031774396
 156.36.206.236   168.162.95.154             1163125           219397157
 170.132.24.74    170.135.199.195            8597424          1158304787
 170.135.199.195  170.132.24.74              6577277           516752640
 170.135.199.195  208.252.13.95                   33                1716
 168.162.95.146   156.36.228.195             1528621          1983400163
 156.36.228.195   168.162.95.146              770213            31846972
 168.162.95.146   156.36.228.194                  77               48042
 156.36.228.194   168.162.95.146                  67               13886
 168.162.95.146   156.36.228.193             2203052          2858772086
 156.36.228.193   168.162.95.146             1102604            45489208
 156.36.238.224   170.132.154.94               53564             2695257
 170.132.154.94   156.36.238.224              102692           132001641
 156.36.222.144   208.238.11.157                   3                 152
 170.135.202.110  156.55.51.78                    16                 880
 156.55.51.78     170.135.202.110                 16                1006
 156.36.239.51    170.132.26.48               133476            41115103
 170.132.26.48    156.36.239.51                99819            20682012
 170.132.154.180  156.36.239.63               255876            72620818
 156.36.239.63    170.132.154.180             469981           355934135
 156.55.51.78     170.135.202.88                3864              231840
 170.135.2.11     208.252.13.111              121357             5245680
 208.252.13.111   170.135.2.11                220988           285813671
 156.36.239.57    170.132.26.48               290633           258628478
 170.132.26.48    156.36.239.57               182475            37423704
 100.120.138.212  170.135.199.195                 47                2632
 168.162.188.129  156.36.178.86                    3                 132
 156.36.178.86    168.162.188.129                  4                 180
 100.120.138.211  170.135.199.195                 44                2464
 147.249.130.173  170.135.199.195             335216           266304502
 170.135.199.195  147.249.130.173             258179            25550017
