"_time","All_Traffic.dvc","All_Traffic.src","All_Traffic.dest","All_Traffic.dest_port","values(All_Traffic.action)","values(All_Traffic.protocol)","values(All_Traffic.src_zone)","values(All_Traffic.dest_zone)"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.237.82.157","10.89.4.132",8443,"allowed teardown",ip,"lpci-app-dmz","lpci-agg"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.237.82.158","10.89.4.132",8443,"allowed teardown",ip,"lpci-app-dmz","lpci-agg"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.237.82.159","10.89.4.131",443,"allowed teardown",ip,"lpci-app-dmz","lpci-agg"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.237.82.160","10.89.4.131",443,"allowed teardown",ip,"lpci-app-dmz","lpci-agg"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","10.0.8.1",135,blocked,ip,"CUSTOMER-DISTRIBUTION","BDOC-CORE"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","10.0.8.1",139,blocked,ip,"CUSTOMER-DISTRIBUTION","BDOC-CORE"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","10.0.8.1",445,blocked,ip,"CUSTOMER-DISTRIBUTION","BDOC-CORE"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","10.20.64.104",443,"allowed teardown",ip,"CUSTOMER-DISTRIBUTION","BDOC-CORE"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","10.20.64.117",443,"allowed teardown",ip,"CUSTOMER-DISTRIBUTION","BDOC-CORE"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","10.20.64.243",443,"allowed teardown",ip,"CUSTOMER-DISTRIBUTION","BDOC-CORE"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","10.92.22.121",443,"allowed teardown",ip,"CUSTOMER-DISTRIBUTION","BDOC-CORE"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","10.92.22.125",443,"allowed teardown",ip,"CUSTOMER-DISTRIBUTION","BDOC-CORE"
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","156.55.112.35",31000,"allowed teardown",ip,"CUST-DISTRIBUTION-CN",agg
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","156.55.112.35",31933,teardown,ip,"CUST-DISTRIBUTION-CN",agg
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","156.55.112.35",31941,allowed,ip,"CUST-DISTRIBUTION-CN",agg
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","156.55.112.35",33989,"allowed teardown",ip,"CUST-DISTRIBUTION-CN",agg
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","156.55.112.35",35105,allowed,ip,"CUST-DISTRIBUTION-CN",agg
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","156.55.112.35",35137,teardown,ip,"CUST-DISTRIBUTION-CN",agg
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","156.55.112.35",35151,teardown,ip,"CUST-DISTRIBUTION-CN",agg
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","156.55.112.35",35178,"allowed teardown",ip,"CUST-DISTRIBUTION-CN",agg
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","156.55.112.35",35379,"allowed teardown",ip,"CUST-DISTRIBUTION-CN",agg
"2021-06-07T00:00:00.000-0500",bdn2f50,"10.89.4.1","156.55.112.35",35701,teardown,ip,"CUST-DISTRIBUTION-CN",agg
